tokens,labels
"['The', 'four', 'images', 'for', 'each', 'section', 'were', 'then', 'combined', 'in', 'a', 'single', 'montage', 'used', 'for', 'further', 'fluorescence', 'analysis.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Intensity', 'of', 'lipofuscin', 'fluorescence', '(red', 'signal)', 'in', 'each', 'section', 'was', 'automatically', 'calculated', 'using', 'the', 'ImageJ', 'software', 'and', 'was', 'then', 'normalized', 'for', 'the', 'length', 'of', 'the', 'RPE', 'underlying', 'the', 'area', 'of', 'fluorescence.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['For', 'electron', 'microscopy', 'analyses', 'eyes', 'were', 'harvested', 'from', 'albino', 'Abca4−/−', 'and', 'Abca4+/+', 'mice', 'at', '3', 'months', 'after', 'AAV', 'injection.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Eyes', 'were', 'fixed', 'in', '0.2%', 'glutaraldehyde-2%', 'PFA', 'in', '0.1', 'M', 'PHEM', 'buffer', 'pH', '6.9', '(240', 'm\uf76d', 'PIPES,', '100', 'm\uf76d', 'HEPES,', '8', 'm\uf76d', 'MgCl2,', '40', 'm\uf76d', 'EGTA)', 'overnight', 'and', 'then', 'rinsed', 'in', '0.1', 'M', 'PHEM', 'buffer.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Eyes', 'were', 'then', 'dissected', 'under', 'light', 'microscope', 'to', 'select', 'the', 'tyrosinase-positive', 'portions', 'of', 'the', 'eyecups.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'transduced', 'portion', 'of', 'the', 'eyecups', 'were', 'subsequently', 'embedded', 'in', '12%', 'gelatin,', 'infused', 'with', '2.3', 'M', 'sucrose', 'and', 'frozen', 'in', 'liquid', 'nitrogen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cryosections', '(50', 'nm)', 'were', 'cut', 'using', 'a', 'Leica', 'Ultramicrotome', 'EM', 'FC7', '(Leica', 'Microsystems)', 'and', 'extreme', 'care', 'was', 'taken', 'to', 'align', 'PR', 'connecting', 'cilia', 'longitudinally.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['To', 'avoid', 'bias', 'in', 'the', 'attribution', 'of', 'morphological', 'data', 'to', 'the', 'various', 'experimental', 'groups,', 'counts', 'of', 'lipofuscin', 'granules', 'were', 'performed', 'by', 'a', 'masked', 'operator', '(Dr', 'Roman', 'Polishchuk)', 'using', 'the', 'iTEM', 'software', '(Olympus', 'SYS,', 'Hamburg,', 'Germany).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O']"
"['The', ""'Touch"", ""count'"", 'module', 'of', 'the', 'iTEM', 'software', 'was', 'used', 'to', 'count', 'the', 'number', 'of', 'lipofuscin', 'granules', 'in', '25', 'µm', '2', 'areas', '(at', 'least', '40)', 'distributed', 'randomly', 'across', 'the', 'RPE', 'layer.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'granule', 'density', 'was', 'expressed', 'as', 'number', 'of', 'granules', 'per', '25', 'µm', '2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
