tokens,labels
"['These', 'programs', 'are', 'the', 'most', 'used', 'tools', 'in', 'CRISPR', 'detection,', 'although', 'none', 'of', 'them', 'is', 'especially', 'conceived', 'for', 'this', 'purpose.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['They', 'require', 'further', 'manual', 'manipulations', 'to', 'eliminate', 'background', 'data', '(tandem', 'repeats', 'for', 'example)', 'and', 'importantly,', 'do', 'not', 'define', 'accurately', 'the', 'DR', 'consensus', '(due', 'to', 'errors', 'on', 'the', 'boundaries).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Recently,', 'two', 'CRISPR-dedicated', 'software', 'tools', 'were', 'proposed,', 'CRT', '(http://www.room220.com/crt)', 'and', 'PILER-CR', '(25).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'B-Application_Mention', 'O']"
"['Both', 'of', 'them', 'run', 'fast', 'and', 'perform', 'well', 'in', 'finding', 'CRISPRs.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['However,', 'CRT', 'results', 'in', 'a', 'considerable', 'background', 'since', 'tandem', 'repeats', 'are', 'considered', 'as', 'putative', 'CRISPRs', 'and', 'in', 'addition,', 'the', 'same', 'CRISPR', 'is', 'sometimes', 'detected', 'more', 'than', 'once', 'with', 'different', 'consensus', 'DRs.']","['O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['PILER-CR', 'has', 'also', 'some', 'drawbacks', 'since', 'it', 'often', 'misidentifies', 'the', 'DR', 'boundaries', 'and', 'omits', 'the', 'truncated', 'DR.']","['B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'first', 'step,', 'maximal', 'repeats', 'are', 'found', 'by', 'the', 'software', 'Vmatch', '(http://www.vmatch.de/),', 'the', 'upgrade', 'of', 'REPuter', '(22-24).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O']"
"['Vmatch', 'is', 'based', 'on', 'a', 'comprehensive', 'implementation', 'of', 'enhanced', 'suffix', 'arrays', '(27)', 'which', 'provides', 'the', 'power', 'of', 'suffix', 'trees', 'with', 'lower', 'space', 'requirements.']","['B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'one', 'nucleotide', 'mismatch', 'is', 'allowed', 'permitting', 'minimal', 'CRISPRs', 'with', 'a', 'single', 'nucleotide', 'mutation', 'between', 'DRs', 'to', 'be', 'found.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hereafter,', 'the', 'obtained', 'maximal', 'repeats', 'are', 'grouped', 'to', 'define', 'regions', 'of', 'possible', 'CRISPRs', 'with', 'a', 'display', 'of', 'consensus', 'DR', 'candidates', 'related', 'to', 'each', 'cluster.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
